vertex,summand,sigma,q,birth,death,essential
A2,del,{},1,0,1,no
A2,del,{},1,0,1,no
A2,del,{},1,0,1,no
A2,del,{},1,0,1,no
A2,del,{},1,0,1,no
A2,del,{},1,0,2.54951,no
A2,del,{},1,0,2.54951,no
A2,del,{},2,1,1.41421,no
A2,link,{},0,0,1,no
A2,link,{},1,1,1.41421,no
